scrubbed_species_binomial,scrubbed_genus
Rebutia xanthocarpa,Rebutia
Reicheocactus pseudoreicheanus,Reicheocactus
Rhipsalidopsis gaertneri,Rhipsalidopsis
Rhipsalis aculeata,Rhipsalis
Rhipsalis agudoensis,Rhipsalis
Rhipsalis baccifera,Rhipsalis
Rhipsalis bambusoides,Rhipsalis
Rhipsalis barthlottii,Rhipsalis
Rhipsalis boliviana,Rhipsalis
Rhipsalis burchellii,Rhipsalis
Rhipsalis campos-portoana,Rhipsalis
Rhipsalis cereoides,Rhipsalis
Rhipsalis cereuscula,Rhipsalis
Rhipsalis clavata,Rhipsalis
Rhipsalis crenata,Rhipsalis
Rhipsalis crispata,Rhipsalis
Rhipsalis cruciformis,Rhipsalis
Rhipsalis cuneata,Rhipsalis
Rhipsalis cylindrica,Rhipsalis
Rhipsalis dissimilis,Rhipsalis
Rhipsalis elliptica,Rhipsalis
Rhipsalis ewaldiana,Rhipsalis
Rhipsalis flagelliformis,Rhipsalis
Rhipsalis floccosa,Rhipsalis
Rhipsalis goebeliana,Rhipsalis
Rhipsalis grandiflora,Rhipsalis
Rhipsalis hileiabaiana,Rhipsalis
Rhipsalis hoelleri,Rhipsalis
Rhipsalis horrida,Rhipsalis
Rhipsalis houlletiana,Rhipsalis
Rhipsalis hylaea,Rhipsalis
Rhipsalis incachacana,Rhipsalis
Rhipsalis juengeri,Rhipsalis
Rhipsalis kirbergii,Rhipsalis
Rhipsalis lindbergiana,Rhipsalis
Rhipsalis loefgrenii,Rhipsalis
Rhipsalis lorentziana,Rhipsalis
Rhipsalis lumbricoides,Rhipsalis
Rhipsalis mesembryanthemoides,Rhipsalis
Rhipsalis micrantha,Rhipsalis
Rhipsalis monacantha,Rhipsalis
Rhipsalis neves-armondii,Rhipsalis
Rhipsalis oblonga,Rhipsalis
Rhipsalis occidentalis,Rhipsalis
Rhipsalis olivifera,Rhipsalis
Rhipsalis ormindoi,Rhipsalis
Rhipsalis pacheco-leonis,Rhipsalis
Rhipsalis pachyptera,Rhipsalis
Rhipsalis paradoxa,Rhipsalis
Rhipsalis paranganiensis,Rhipsalis
Rhipsalis pentaptera,Rhipsalis
Rhipsalis pilocarpa,Rhipsalis
Rhipsalis pittieri,Rhipsalis
Rhipsalis platycarpa,Rhipsalis
Rhipsalis pulchra,Rhipsalis
Rhipsalis puniceodiscus,Rhipsalis
Rhipsalis rhombea,Rhipsalis
Rhipsalis riocampanensis,Rhipsalis
Rhipsalis russellii,Rhipsalis
Rhipsalis shaferi,Rhipsalis
Rhipsalis simmleri,Rhipsalis
Rhipsalis sulcata,Rhipsalis
Rhipsalis teres,Rhipsalis
Rhipsalis tonduzii,Rhipsalis
Rhipsalis triangularis,Rhipsalis
Rhipsalis trigona,Rhipsalis
Rhipsalis tucumanensis,Rhipsalis
Rhipsalis undulata,Rhipsalis
Rhipsalis warmingiana,Rhipsalis
Samaipaticereus corroanus,Samaipaticereus
Samaipaticereus inquisivensis,Samaipaticereus
Schlumbergera bridgesii,Schlumbergera
Schlumbergera gaertneri,Schlumbergera
Schlumbergera kautskyi,Schlumbergera
Schlumbergera microsphaerica,Schlumbergera
Schlumbergera obtusangula,Schlumbergera
Schlumbergera opuntioides,Schlumbergera
Schlumbergera orssichiana,Schlumbergera
Schlumbergera russelliana,Schlumbergera
Schlumbergera truncata,Schlumbergera
Sclerocactus blainei,Sclerocactus
Sclerocactus brevispinus,Sclerocactus
Sclerocactus cloverae,Sclerocactus
Sclerocactus glaucus,Sclerocactus
Sclerocactus mesae-verdae,Sclerocactus
Sclerocactus nyensis,Sclerocactus
Sclerocactus papyracanthus,Sclerocactus
Sclerocactus parviflorus,Sclerocactus
Sclerocactus polyancistrus,Sclerocactus
Sclerocactus pubispinus,Sclerocactus
Sclerocactus scheeri,Sclerocactus
Sclerocactus sileri,Sclerocactus
Sclerocactus spinosior,Sclerocactus
Sclerocactus uncinatus,Sclerocactus
Sclerocactus wetlandicus,Sclerocactus
Sclerocactus whipplei,Sclerocactus
Sclerocactus wrightiae,Sclerocactus
Selenicereus anthonyanus,Selenicereus
Selenicereus atropilosus,Selenicereus
Selenicereus boeckmannii,Selenicereus
Selenicereus brevispinus,Selenicereus
Selenicereus chontalensis,Selenicereus
Selenicereus chrysocardium,Selenicereus
Selenicereus coniflorus,Selenicereus
Selenicereus costaricensis,Selenicereus
Selenicereus donkelaarii,Selenicereus
Selenicereus extensus,Selenicereus
Selenicereus grandiflorus,Selenicereus
Selenicereus guatemalensis,Selenicereus
Selenicereus hamatus,Selenicereus
Selenicereus hondurensis,Selenicereus
Selenicereus inermis,Selenicereus
Selenicereus innesii,Selenicereus
Selenicereus macdonaldiae,Selenicereus
Selenicereus maxonii,Selenicereus
Selenicereus megalanthus,Selenicereus
Selenicereus minutiflorus,Selenicereus
Selenicereus mirandae,Selenicereus
Selenicereus monacanthus,Selenicereus
Selenicereus murrillii,Selenicereus
Selenicereus nelsonii,Selenicereus
Selenicereus ocamponis,Selenicereus
Selenicereus pteranthus,Selenicereus
Selenicereus rothii,Selenicereus
Selenicereus rubineus,Selenicereus
Selenicereus setaceus,Selenicereus
Selenicereus spinulosus,Selenicereus
Selenicereus testudo,Selenicereus
Selenicereus triangularis,Selenicereus
Selenicereus tricae,Selenicereus
Selenicereus trigonus,Selenicereus
Selenicereus undatus,Selenicereus
Selenicereus vagans,Selenicereus
Selenicereus validus,Selenicereus
Selenicereus wercklei,Selenicereus
Selenicereus wittii,Selenicereus
Setiechinopsis mirabilis,Setiechinopsis
Stenocactus anfractuosus,Stenocactus
Stenocactus arrigens,Stenocactus
Stenocactus coptonogonus,Stenocactus
Stenocactus crispatus,Stenocactus
Stenocactus dichroacanthus,Stenocactus
Stenocactus heteracanthus,Stenocactus
Stenocactus lamellosus,Stenocactus
Stenocactus lancifer,Stenocactus
Stenocactus multicostatus,Stenocactus
Stenocactus obvallatus,Stenocactus
Stenocactus ochoterenaus,Stenocactus
Stenocactus ochoterenianus,Stenocactus
Stenocactus pentacanthus,Stenocactus
Stenocactus phyllacanthus,Stenocactus
Stenocactus sulphureus,Stenocactus
Stenocactus vaupelianus,Stenocactus
Stenocactus wippermannii,Stenocactus
Stenocereus alamosensis,Stenocereus
Stenocereus aragonii,Stenocereus
Stenocereus beneckei,Stenocereus
Stenocereus chacalapensis,Stenocereus
Stenocereus chrysocarpus,Stenocereus
Stenocereus dumortieri,Stenocereus
Stenocereus eichlamii,Stenocereus
Stenocereus eruca,Stenocereus
Stenocereus fimbriatus,Stenocereus
Stenocereus fricii,Stenocereus
Stenocereus griseus,Stenocereus
Stenocereus gummosus,Stenocereus
Stenocereus humilis,Stenocereus
Stenocereus hystrix,Stenocereus
Stenocereus kerberi,Stenocereus
Stenocereus laevigatus,Stenocereus
Stenocereus martinezii,Stenocereus
Stenocereus montanus,Stenocereus
Stenocereus pruinosus,Stenocereus
Stenocereus queretaroensis,Stenocereus
Stenocereus quevedonis,Stenocereus
Stenocereus standleyi,Stenocereus
Stenocereus stellatus,Stenocereus
Stenocereus thurberi,Stenocereus
Stenocereus treleasei,Stenocereus
Stenocereus yunckeri,Stenocereus
Stephanocereus leucostele,Stephanocereus
Stephanocereus luetzelburgii,Stephanocereus
Stetsonia coryne,Stetsonia
Strombocactus disciformis,Strombocactus
Strophocactus brasiliensis,Strophocactus
Strophocactus sicariguensis,Strophocactus
Strophocactus wittii,Strophocactus
Subpilocereus albispinus,Subpilocereus
Subpilocereus horrispinus,Subpilocereus
Subpilocereus mortensenii,Subpilocereus
Subpilocereus repandus,Subpilocereus
Sulcorebutia arenacea,Sulcorebutia
Sulcorebutia atrospinosa,Sulcorebutia
Sulcorebutia azurduyensis,Sulcorebutia
Sulcorebutia breviflora,Sulcorebutia
Sulcorebutia camargoensis,Sulcorebutia
Sulcorebutia candiae,Sulcorebutia
Sulcorebutia canigueralii,Sulcorebutia
Sulcorebutia cantargalloensis,Sulcorebutia
Sulcorebutia caracarensis,Sulcorebutia
Sulcorebutia cardenasiana,Sulcorebutia
Sulcorebutia christiei,Sulcorebutia
Sulcorebutia confusa,Sulcorebutia
Sulcorebutia crispata,Sulcorebutia
Sulcorebutia cylindrica,Sulcorebutia
Sulcorebutia dorana,Sulcorebutia
Sulcorebutia frankiana,Sulcorebutia
Sulcorebutia gemmae,Sulcorebutia
Sulcorebutia glomeriseta,Sulcorebutia
Sulcorebutia heliosoides,Sulcorebutia
Sulcorebutia insperata,Sulcorebutia
Sulcorebutia juckeri,Sulcorebutia
Sulcorebutia kruegerae,Sulcorebutia
Sulcorebutia lamprochlora,Sulcorebutia
Sulcorebutia langeri,Sulcorebutia
Sulcorebutia losenickyana,Sulcorebutia
Sulcorebutia mentosa,Sulcorebutia
Sulcorebutia pulchra,Sulcorebutia
Sulcorebutia purpurea,Sulcorebutia
Sulcorebutia roberto-vasquezii,Sulcorebutia
Sulcorebutia steinbachii,Sulcorebutia
Sulcorebutia tarabucoensis,Sulcorebutia
Sulcorebutia tarijensis,Sulcorebutia
Sulcorebutia tiraquensis,Sulcorebutia
Sulcorebutia torotorensis,Sulcorebutia
Sulcorebutia vargasii,Sulcorebutia
Sulcorebutia vasqueziana,Sulcorebutia
Sulcorebutia verticillacantha,Sulcorebutia
Sulcorebutia viridis,Sulcorebutia
Tacinga braunii,Tacinga
Tacinga funalis,Tacinga
Tacinga inamoena,Tacinga
Tacinga lilae,Tacinga
Tacinga palmadora,Tacinga
Tacinga saxatilis,Tacinga
Tacinga werneri,Tacinga
Tephrocactus alexanderi,Tephrocactus
Tephrocactus aoracanthus,Tephrocactus
Tephrocactus articulatus,Tephrocactus
Tephrocactus campestris,Tephrocactus
Tephrocactus chichensis,Tephrocactus
Tephrocactus diademata,Tephrocactus
Tephrocactus echinaceus,Tephrocactus
Tephrocactus geometricus,Tephrocactus
Tephrocactus halophilus,Tephrocactus
Tephrocactus molinensis,Tephrocactus
Tephrocactus multiareolatus,Tephrocactus
Tephrocactus weberi,Tephrocactus
Thelocactus bicolor,Thelocactus
Thelocactus conothelos,Thelocactus
Thelocactus hastifer,Thelocactus
Thelocactus heterochromus,Thelocactus
Thelocactus hexaedrophorus,Thelocactus
Thelocactus lausseri,Thelocactus
Thelocactus leucacanthus,Thelocactus
Thelocactus lophothele,Thelocactus
Thelocactus macdowellii,Thelocactus
Thelocactus rinconensis,Thelocactus
Thelocactus setispinus,Thelocactus
Thelocactus tulensis,Thelocactus
Thelocephala esmeraldana,Thelocephala
Thelocephala napina,Thelocephala
Thelocephala odieri,Thelocephala
Thelocephala tenebrica,Thelocephala
Thrixanthocereus longispinus,Thrixanthocereus
Trichocereus andalgalensis,Trichocereus
Trichocereus angelesiae,Trichocereus
Trichocereus arboricola,Trichocereus
Trichocereus atacamensis,Trichocereus
Trichocereus bridgesii,Trichocereus
Trichocereus cabrerae,Trichocereus
Trichocereus camarguensis,Trichocereus
Trichocereus candicans,Trichocereus
Trichocereus chiloensis,Trichocereus
Trichocereus clavatus,Trichocereus
Trichocereus coquimbanus,Trichocereus
Trichocereus deserticola,Trichocereus
Trichocereus fabrisii,Trichocereus
Trichocereus herzogianus,Trichocereus
Trichocereus huascha,Trichocereus
Trichocereus lamprochlorus,Trichocereus
Trichocereus litoralis,Trichocereus
Trichocereus macrogonus,Trichocereus
Trichocereus narvaecensis,Trichocereus
Trichocereus nigripilis,Trichocereus
Trichocereus peruvianus,Trichocereus
Trichocereus pseudocandicans,Trichocereus
Trichocereus riomizquensis,Trichocereus
Trichocereus rowleyi,Trichocereus
Trichocereus schickendantzii,Trichocereus
Trichocereus skottsbergii,Trichocereus
Trichocereus smrzianus,Trichocereus
Trichocereus spachianus,Trichocereus
Trichocereus strigosus,Trichocereus
Trichocereus tacaquirensis,Trichocereus
Trichocereus tacnaensis,Trichocereus
Trichocereus taquimbalensis,Trichocereus
Trichocereus tarijensis,Trichocereus
Trichocereus terscheckii,Trichocereus
Trichocereus thelegonoides,Trichocereus
Trichocereus thelegonus,Trichocereus
Trichocereus tunariensis,Trichocereus
Trichocereus uyupampensis,Trichocereus
Trichocereus vasquezii,Trichocereus
Trichocereus vatteri,Trichocereus
Trichocereus vollianus,Trichocereus
Trichocereus werdermannianus,Trichocereus
Tunilla albisaetacens,Tunilla
Tunilla chilensis,Tunilla
Tunilla corrugata,Tunilla
Tunilla soehrensii,Tunilla
Tunilla tilcarensis,Tunilla
Turbinicarpus alonsoi,Turbinicarpus
Turbinicarpus beguinii,Turbinicarpus
Turbinicarpus booleanus,Turbinicarpus
Turbinicarpus dickisoniae,Turbinicarpus
Turbinicarpus gielsdorfianus,Turbinicarpus
Turbinicarpus hoferi,Turbinicarpus
Turbinicarpus horripilus,Turbinicarpus
Turbinicarpus jauernigii,Turbinicarpus
Turbinicarpus laui,Turbinicarpus
Turbinicarpus lophophoroides,Turbinicarpus
Turbinicarpus mandragora,Turbinicarpus
Turbinicarpus pseudomacrochele,Turbinicarpus
Turbinicarpus pseudopectinatus,Turbinicarpus
Turbinicarpus roseiflorus,Turbinicarpus
Turbinicarpus saueri,Turbinicarpus
Turbinicarpus schmiedickeanus,Turbinicarpus
Turbinicarpus subterraneus,Turbinicarpus
Turbinicarpus swobodae,Turbinicarpus
Turbinicarpus valdezianus,Turbinicarpus
Turbinicarpus viereckii,Turbinicarpus
Turbinicarpus zaragozae,Turbinicarpus
Uebelmannia buiningii,Uebelmannia
Uebelmannia gummifera,Uebelmannia
Uebelmannia pectinifera,Uebelmannia
Weberbauerocereus churinensis,Weberbauerocereus
Weberbauerocereus cuzcoensis,Weberbauerocereus
Weberbauerocereus johnsonii,Weberbauerocereus
Weberbauerocereus longicomus,Weberbauerocereus
Weberbauerocereus madidiensis,Weberbauerocereus
Weberbauerocereus rauhii,Weberbauerocereus
Weberbauerocereus torataensis,Weberbauerocereus
Weberbauerocereus weberbaueri,Weberbauerocereus
Weberbauerocereus winterianus,Weberbauerocereus
Weberocereus biolleyi,Weberocereus
Weberocereus bradei,Weberocereus
Weberocereus frohningiorum,Weberocereus
Weberocereus glaber,Weberocereus
Weberocereus imitans,Weberocereus
Weberocereus panamensis,Weberocereus
Weberocereus rosei,Weberocereus
Weberocereus tonduzii,Weberocereus
Weberocereus trichophorus,Weberocereus
Weberocereus tunilla,Weberocereus
Weingartia cintiensis,Weingartia
Weingartia fidaiana,Weingartia
Weingartia kargliana,Weingartia
Weingartia lanata,Weingartia
Weingartia neocumingii,Weingartia
Weingartia neumanniana,Weingartia
Weingartia pucarensis,Weingartia
Weingartia westii,Weingartia
Werckleocereus tonduzii,Werckleocereus
Wigginsia erinacea,Wigginsia
Wigginsia pauciareolata,Wigginsia
Wigginsia schaeferiana,Wigginsia
Wigginsia tephracantha,Wigginsia
Wilcoxia viperina,Wilcoxia
Winterocereus aureispinus,Winterocereus
Winterocereus colademononis,Winterocereus
Yavia cryptocarpa,Yavia
Yungasocereus inquisivensis,Yungasocereus
x Cleistocana mirabilis,x Cleistocana
x Haagespostoa climaxantha,x Haagespostoa
x Pacherocactus orcuttii,x Pacherocactus
